,make,model,year,mileage,fuel,power,transmission,price
67,Nissan,Juke,2015,109000,Petrol,115,Manual,5790
68,Skoda,Fabia,2010,56750,Petrol,85,Manual,3495
69,BMW,3,2009,95000,Petrol,215,Automatic,6750
70,Peugeot,207,2008,57000,Petrol,72,Manual,1750
71,Fiat,Grande,2008,79681,Petrol,77,Automatic,1495
72,Toyota,Yaris,2015,44000,Petrol,99,Manual,7299
73,Renault,Megane,2011,63915,Petrol,100,Manual,3999
74,Audi,A1,2019,18553,Petrol,114,Manual,19790
75,Vauxhall,Grandland,2018,45416,Petrol,128,Automatic,12495
76,Audi,Q5,2020,9640,Petrol,241,Automatic,44990
77,Audi,A5,2021,3950,Petrol,148,Automatic,38490
78,Audi,A4,2021,3795,Petrol,444,Automatic,67990
79,Volkswagen,Polo,2007,59447,Petrol,70,Manual,2995
80,Audi,A3,2018,20592,Petrol,114,Manual,18190
81,Audi,A3,2018,28353,Petrol,114,Manual,19990
82,Aston,Martin,2011,38000,Petrol,430,Automatic,44995
83,Nissan,Juke,2016,36900,Petrol,115,Manual,10500
84,Toyota,Yaris,2018,29369,Hybrid,99,Automatic,13399
85,Land,Rover,2021,8148,Petrol,246,Automatic,52450
86,MINI,Mini,2017,35079,Petrol,134,Manual,13499
87,Ford,Focus,2009,117000,Petrol,100,Manual,1995
88,Vauxhall,Corsa,2019,11415,Petrol,89,Manual,7195
89,Audi,A1,2014,33500,Petrol,121,Manual,11500
90,Ford,Focus,2016,44781,Petrol,247,Manual,15300
91,Ford,Fiesta,2016,27896,Petrol,123,Manual,9600
92,Vauxhall,Corsa,2017,8863,Petrol,74,Manual,9500
93,Vauxhall,GTC,2015,37000,Petrol,138,Automatic,8500
94,Mazda,Mazda2,2017,40100,Petrol,89,Manual,10600
95,Ford,Focus,2016,37923,Petrol,123,Manual,10000
96,Mazda,Mazda3,2018,45227,Petrol,118,Automatic,13995
97,BMW,1,2016,70718,Petrol,134,Manual,10999
98,Audi,A1,2011,50210,Petrol,122,Automatic,9250
99,Vauxhall,Corsa,2021,100,Petrol,74,Manual,17000
100,Vauxhall,ADAM,2016,39503,Petrol,148,Manual,10000
101,Vauxhall,GTC,2017,34780,Petrol,138,Manual,11700
102,Hyundai,Tucson,2017,32000,Petrol,130,Manual,15990
103,Mitsubishi,Outlander,2018,8642,Hybrid,200,Automatic,27999
104,Volkswagen,Polo,2016,12392,Petrol,74,Manual,11695
105,Ford,EcoSport,2019,17808,Petrol,123,Manual,16995
106,Mercedes-Benz,GLA-Class,2018,17815,Petrol,121,Automatic,24995
107,Volkswagen,Polo,2015,16520,Petrol,59,Manual,9995
108,Ford,Fiesta,2021,6053,Petrol,123,Manual,18995
109,Volkswagen,Scirocco,2017,53400,Petrol,123,Manual,14250
110,Vauxhall,Corsa,2015,25152,Petrol,89,Manual,8795
111,MINI,Mini,2014,57914,Petrol,122,Manual,8480
112,Ford,Fiesta,2018,17627,Petrol,99,Manual,12999
113,Mazda,Mazda6,2016,21000,Petrol,143,Manual,14200
114,Ford,Fiesta,2016,23939,Petrol,99,Manual,9999
115,Vauxhall,GTC,2016,17000,Petrol,138,Manual,11700
116,MINI,Mini,2016,63597,Petrol,101,Manual,9000
117,Volkswagen,T-Roc,2018,19000,Petrol,188,Automatic,26000
118,Ford,Focus,2018,40144,Petrol,247,Manual,19500
119,Ford,Fiesta,2015,32201,Petrol,80,Manual,8999
120,Ford,Focus,2017,38075,Petrol,123,Manual,11200
121,Volkswagen,Golf,2017,44500,Petrol,241,Manual,21700
122,Suzuki,Alto,2015,17846,Petrol,68,Manual,4500
123,Ford,Fiesta,2014,22123,Petrol,180,Manual,12299
124,Mitsubishi,Outlander,2016,57600,Hybrid,200,Automatic,19000
125,Seat,Ibiza,2015,49000,Petrol,103,Manual,8500
126,Peugeot,208,2014,61000,Petrol,82,Manual,5100
127,Jaguar,XE,2016,49000,Petrol,197,Automatic,17200
128,Ford,EcoSport,2020,4685,Petrol,138,Manual,20499
129,BMW,2,2015,41000,Petrol,134,Manual,15500
130,Seat,Ateca,2017,44000,Petrol,114,Manual,15500
131,Seat,Ibiza,2018,22000,Petrol,94,Manual,14000
132,Ford,Fiesta,2018,39094,Petrol,99,Manual,13400
133,Nissan,Qashqai,2016,29744,Petrol,113,Automatic,17000
134,MINI,Mini,2015,30000,Petrol,184,Automatic,15500
135,Volkswagen,Golf,2015,53202,Petrol,121,Manual,11500
136,Hyundai,Tucson,2018,20269,Petrol,130,Manual,16798
137,BMW,X5,2017,44000,Petrol,567,Automatic,51950
138,Volkswagen,Golf,2018,58957,Petrol,227,Manual,20500
139,Vauxhall,Corsa,2015,114067,Petrol,69,Manual,4500
140,Hyundai,Tucson,2020,13129,Petrol,130,Manual,19750
141,Renault,Kadjar,2018,14756,Petrol,130,Manual,19500
142,Hyundai,Tucson,2018,18285,Petrol,174,Manual,20500
143,Mazda,Mazda6,2016,33411,Petrol,163,Manual,14999
144,Ford,Fiesta,2018,19148,Petrol,99,Manual,12999
145,Toyota,Yaris,2017,39134,Petrol,110,Manual,10299
146,Ford,Focus,2016,40911,Petrol,123,Manual,11499
147,Audi,Q2,2018,35100,Petrol,114,Manual,18699
148,Hyundai,i20,2019,22629,Petrol,83,Manual,11799
149,Peugeot,108,2015,26030,Petrol,68,Manual,6799
150,Ford,Puma,2021,4644,Petrol,123,Manual,24499
151,Seat,Ibiza,2015,42000,Petrol,84,Manual,6495
152,Ford,Focus,2009,26150,Petrol,100,Manual,4350
153,Vauxhall,Astra,2017,29035,Petrol,148,Manual,12780
154,Citroen,C3,2018,20948,Petrol,80,Manual,10490
155,Mazda,MX-5,2018,15484,Petrol,158,Manual,21499
156,Honda,Civic,2009,87300,Petrol,198,Manual,8995
157,Nissan,Micra,2007,31455,Petrol,79,Automatic,3600
158,Vauxhall,Corsa,2018,11630,Petrol,74,Manual,9545
159,Vauxhall,Corsa,2015,20664,Petrol,89,Manual,8996
160,Vauxhall,Mokka,2018,46009,Petrol,138,Automatic,13999
161,Ford,Fiesta,2010,46047,Petrol,95,Automatic,6400
162,Toyota,Auris,2016,66467,Hybrid,134,Automatic,14395
163,Vauxhall,Astra,2017,50258,Petrol,99,Manual,9672
164,Vauxhall,ADAM,2016,41287,Petrol,69,Manual,4800
165,Vauxhall,Zafira,2010,38943,Petrol,113,Manual,4600
166,Fiat,Panda,2015,4995,Petrol,69,Manual,40707
167,Kia,Sportage,2017,43815,Petrol,130,Manual,12999
168,Honda,CR-V,2013,58449,Petrol,153,Automatic,13995
169,Kia,Sportage,2020,9190,Petrol,130,Manual,18699
170,Vauxhall,Astra,2016,36729,Petrol,148,Manual,10839
171,Toyota,AYGO,2010,11674,Petrol,67,Automatic,6400
172,Mercedes-Benz,B-Class,2014,80069,Diesel,109,Manual,8395
173,Mazda,MX-5,2011,87458,Petrol,158,Manual,7998
174,Kia,Picanto,2019,4329,Petrol,66,Manual,8499
175,Nissan,Juke,2013,91089,Diesel,110,Manual,5395
176,Volkswagen,up!,2013,21000,Petrol,74,Manual,6995
177,PORSCHE,911,2009,51000,Petrol,385,Manual,48995
178,Volkswagen,T-Roc,2019,20193,Petrol,148,Manual,23999
179,Jaguar,XE,2018,23189,Petrol,197,Automatic,21990
180,Volkswagen,Golf,2018,15000,Petrol,121,Manual,17999
181,Volkswagen,Polo,2019,10364,Petrol,64,Manual,14999
182,Volkswagen,up!,2012,97595,Petrol,59,Manual,3401
183,BMW,3,2017,51024,Diesel,188,Automatic,20599
184,Honda,Civic,2015,25700,Petrol,140,Automatic,12990
185,Skoda,Fabia,2015,48073,Petrol,59,Manual,6295
186,Nissan,Juke,2020,6706,Petrol,115,Manual,21999
187,Vauxhall,Mokka,2016,19634,Petrol,138,Manual,11999
188,Renault,Captur,2017,44813,Petrol,90,Manual,11199
189,Seat,Ibiza,2017,42347,Petrol,109,Manual,10399
190,Ford,Fiesta,2016,25041,Petrol,99,Manual,9199
191,Ford,Fiesta,2016,25041,Petrol,99,Manual,9199
192,Mercedes-Benz,A-Class,2020,10284,Petrol,134,Manual,28999
193,Nissan,Micra,2017,35368,Petrol,88,Manual,9999
194,Kia,Picanto,2018,18580,Petrol,66,Manual,8799
195,Skoda,Octavia,2014,21987,Petrol,103,Automatic,11299
196,Jaguar,E-PACE,2018,23545,Petrol,246,Automatic,31999
197,Vauxhall,Astra,2014,38547,Petrol,140,Manual,6999
198,BMW,1,2015,36420,Petrol,322,Manual,18495
199,Fiat,500,2017,66000,Petrol,69,Manual,6599
200,Vauxhall,Mokka,2017,24720,Petrol,128,Manual,13299
201,Vauxhall,Corsa,2014,66351,Petrol,98,Manual,4595
202,Mazda,MX-5,2009,98000,Petrol,125,Manual,2995
203,Audi,A6,2008,197700,Diesel,180,Automatic,1195
204,Ford,Fiesta,2012,95972,Petrol,59,Manual,3450
205,Kia,Niro,2017,17627,Hybrid,140,Automatic,20995
206,Peugeot,208,2018,35607,Petrol,82,Manual,10776
207,Vauxhall,Corsa,2019,23807,Petrol,74,Manual,10239
208,Peugeot,2008,2015,29000,Diesel,100,Manual,9495
209,Renault,Grand,2007,134634,Diesel,150,Manual,1995
210,Volkswagen,Golf,2019,16208,Petrol,296,Automatic,30999
211,Nissan,Note,2006,79970,Petrol,109,Automatic,2995
212,Volvo,V70,2009,135330,Diesel,136,Manual,4295
213,Toyota,RAV4,2008,84730,Diesel,134,Manual,4850
214,MG,ZS,2018,17949,Petrol,105,Manual,13999
215,Toyota,AYGO,2016,56700,Petrol,69,Manual,6795
216,Kia,Rio,2015,86955,Petrol,83,Manual,4695
217,Hyundai,i20,2010,96730,Petrol,99,Manual,2495
218,Vauxhall,Mokka,2013,35005,Petrol,113,Manual,7990
219,Honda,Jazz,2019,730,Petrol,101,Manual,16300
220,Peugeot,206,2005,58827,Petrol,134,Manual,1800
221,Toyota,Celica,2004,81213,Petrol,141,Manual,3495
222,Honda,Jazz,2021,1378,Hybrid,107,Automatic,20500
223,Nissan,Qashqai,2016,33527,Petrol,113,Manual,14999
224,MINI,Mini,2018,12974,Petrol,134,Manual,18499
225,Audi,A1,2014,43590,Petrol,122,Manual,11299
226,Hyundai,i10,2015,50000,Petrol,86,Manual,5799
227,Jeep,Compass,2020,11000,Petrol,138,Manual,19999
228,Vauxhall,Mokka,2016,22000,Petrol,113,Manual,12799
229,Nissan,Qashqai,2016,38000,Petrol,113,Manual,13799
230,Ford,EcoSport,2017,40000,Petrol,110,Manual,9999
231,Vauxhall,Mokka,2018,17000,Petrol,138,Automatic,15999
232,Vauxhall,Mokka,2018,13000,Petrol,138,Manual,14999
233,Volkswagen,Golf,2018,5000,Petrol,128,Automatic,19999
234,Ford,Fiesta,2018,20303,Petrol,197,Manual,18499
235,Dacia,Sandero,2019,10200,Petrol,90,Manual,10299
236,Fiat,500,2014,42000,Petrol,69,Manual,5695
237,Skoda,Fabia,2018,1868,Petrol,74,Manual,11499
238,Hyundai,Tucson,2018,51221,Petrol,130,Manual,14899
239,Renault,Clio,2013,71000,Petrol,90,Manual,5495
240,Mercedes-Benz,GLA-Class,2018,41900,Petrol,154,Manual,21499
241,Hyundai,IONIQ,2018,8753,Hybrid,140,Automatic,17999
242,Seat,Ibiza,2013,103000,Petrol,84,Manual,3895
243,Honda,CR-V,2005,103000,Petrol,148,Manual,2999
244,Volkswagen,Polo,2009,116000,Petrol,80,Manual,2999
245,MINI,Mini,2012,59000,Petrol,97,Manual,5995
246,Vauxhall,Crossland,2019,4833,Petrol,82,Manual,15495
247,Volkswagen,Polo,2009,68500,Petrol,60,Manual,3495
248,Toyota,C-HR,2018,14194,Petrol,114,Manual,20995
249,Vauxhall,Corsa,2013,40000,Petrol,64,Manual,4295
250,Fiat,Panda,2012,60945,Petrol,85,Manual,3495
251,Seat,Ibiza,2010,8500,Petrol,104,Manual,2495
252,Nissan,Qashqai,2019,13300,Petrol,140,Manual,19567
253,BMW,Z4,2004,72000,Petrol,228,Manual,4995
254,BMW,Z4,2003,72700,Petrol,189,Manual,4495
255,Renault,Clio,2013,90537,Petrol,75,Manual,4990
256,Ford,Fiesta,2018,27499,Petrol,99,Manual,12750
257,MINI,Mini,2009,57000,Petrol,94,Manual,2000
258,Ford,EcoSport,2018,23856,Petrol,99,Manual,15000
259,BMW,3,2018,23488,Petrol,181,Manual,20500
260,Kia,ceed,2012,115800,Diesel,126,Manual,3495
261,Ford,Fiesta,2009,63154,Petrol,95,Automatic,4895
262,Ford,Focus,2016,55000,Petrol,123,Automatic,8890
263,Seat,Ibiza,2011,75000,Petrol,85,Manual,4195
264,Volkswagen,Polo,2016,22327,Petrol,89,Automatic,13450
265,Vauxhall,Mokka,2016,75000,Petrol,138,Manual,7995
266,Volkswagen,Polo,2011,66000,Petrol,60,Manual,4995
267,Fiat,Panda,2012,56542,Petrol,69,Manual,3417
268,Toyota,AYGO,2010,23169,Petrol,67,Manual,3595
269,Peugeot,207,2010,60000,Petrol,73,Manual,3195
270,Citroen,DS3,2011,89000,Petrol,120,Manual,3995
271,Ford,Ka,2011,33565,Petrol,68,Manual,4309
272,Hyundai,i10,2010,49778,Petrol,65,Manual,3195
273,Fiat,500,2012,35919,Petrol,69,Manual,3979
274,Ford,Fiesta,2009,86231,Petrol,80,Manual,3191
275,Peugeot,207,2011,73076,Petrol,73,Manual,2200
276,Ford,Focus,2014,50784,Petrol,123,Manual,6995
277,Toyota,Yaris,2008,36753,Petrol,86,Manual,3695
278,Nissan,Juke,2010,73000,Petrol,117,Manual,4995
279,Mazda,Mazda2,2010,74136,Petrol,101,Manual,3395
280,Peugeot,208,2012,77432,Petrol,82,Manual,3531
281,Ford,Fiesta,2013,89325,Petrol,123,Manual,5615
282,Volkswagen,Polo,2014,62000,Petrol,59,Manual,6795
283,Ford,Ka,2009,85254,Petrol,68,Manual,2391
284,Ford,Fiesta,2012,87650,Petrol,80,Manual,3995
285,Toyota,Yaris,2012,61118,Petrol,98,Manual,5191
286,Citroen,C3,2016,50000,Petrol,80,Manual,5995
287,Vauxhall,Viva,2017,27675,Petrol,74,Manual,6950
288,MINI,Mini,2012,56000,Petrol,98,Manual,6499
289,Nissan,Qashqai,2020,8356,Petrol,158,Automatic,27900
290,Vauxhall,Mokka,2014,32578,Petrol,113,Manual,9200
291,BMW,Z4,2010,59000,Petrol,302,Manual,13990
292,Vauxhall,Corsa,2016,36000,Petrol,202,Manual,10990
293,Ford,Focus,2010,91700,Petrol,100,Manual,2795
294,Kia,Venga,2015,79505,Petrol,89,Manual,5595
295,Audi,A3,2013,82080,Petrol,104,Manual,7995
296,Ford,Ka,2013,56160,Petrol,68,Manual,3495
297,Ford,Fiesta,2012,58060,Petrol,80,Manual,4395
298,Nissan,Qashqai,2013,59235,Petrol,117,Manual,8595
299,Ford,Ka,2011,81485,Petrol,68,Manual,2895
300,Fiat,500,2016,48430,Petrol,69,Manual,6595
301,BMW,3,2014,101763,Petrol,181,Automatic,10295
302,Ford,Fiesta,2011,88000,Petrol,118,Manual,4195
303,Kia,Picanto,2015,39500,Petrol,68,Manual,5195
304,Hyundai,i10,2014,87382,Petrol,65,Manual,3595
305,Lexus,LS,2009,89672,Petrol,376,Automatic,9995
306,Mercedes-Benz,SL-Class,2006,94950,Petrol,272,Automatic,8495
307,Renault,Clio,2012,70750,Petrol,75,Manual,2995
308,Ford,Ka,2012,70100,Petrol,68,Manual,2995
309,Ford,Focus,2013,56710,Petrol,247,Manual,12595
310,Renault,Captur,2019,13829,Petrol,88,Manual,14990
311,Renault,Clio,2018,28000,Petrol,88,Manual,10295
312,Land,Rover,2003,27280,Petrol,174,Automatic,3295
313,Ford,Focus,2009,91150,Petrol,100,Manual,2995
314,Ford,Fiesta,2016,48000,Petrol,138,Manual,8690
315,Renault,Grand,2008,100000,Petrol,111,Manual,1785
316,Citroen,C2,2007,88113,Petrol,121,Manual,1595
317,Audi,A5,2018,24300,Petrol,148,Automatic,21995
318,Fiat,500X,2015,43000,Petrol,140,Manual,9970
319,Hyundai,Tucson,2018,24297,Petrol,174,Automatic,21499
320,Hyundai,i10,2019,5035,Petrol,65,Manual,9999
321,BMW,3,2013,29000,Petrol,134,Manual,10795
322,Hyundai,Tucson,2019,10401,Petrol,174,Automatic,21595
323,Hyundai,Tucson,2019,14699,Petrol,174,Automatic,21195
324,Hyundai,Tucson,2019,8348,Petrol,174,Automatic,21795
325,Ford,Focus,2011,91000,Petrol,103,Manual,5299
326,Peugeot,107,2012,47000,Petrol,68,Manual,3000
327,Skoda,Fabia,2018,44569,Petrol,74,Manual,12595
328,BMW,3,2021,19997,Petrol,154,Automatic,29999
329,Ford,Fiesta,2019,9877,Petrol,123,Manual,16791
330,Ford,Focus,2016,37589,Petrol,99,Manual,10295
331,Ford,Focus,2019,15411,Petrol,125,Manual,21795
332,Ford,Focus,2019,12455,Petrol,123,Manual,18495
333,Ford,Fiesta,2018,20405,Petrol,123,Manual,12891
334,Ford,EcoSport,2019,10835,Petrol,123,Manual,18495
335,MINI,Mini,2020,5706,Petrol,189,Manual,23999
336,Nissan,Qashqai,2016,44724,Petrol,113,Manual,12495
337,Mazda,Mazda2,2015,82720,Petrol,89,Manual,6995
338,Toyota,AYGO,2014,47650,Petrol,69,Manual,5495
339,Mitsubishi,Outlander,2013,113100,Diesel,147,Automatic,8995
340,Audi,TT,2010,70500,Petrol,160,Manual,7495
341,Peugeot,108,2018,6220,Petrol,71,Manual,8290
342,Renault,Clio,2013,58350,Petrol,75,Manual,6495
343,Honda,CR-V,2010,83950,Petrol,148,Manual,6995
344,Renault,Clio,2014,64350,Diesel,90,Manual,6495
345,Kia,Picanto,2016,44250,Petrol,65,Manual,6995
346,Nissan,Qashqai,2021,3477,Petrol,156,Automatic,26999
347,Vauxhall,Mokka,2017,29000,Petrol,138,Automatic,13944
348,BMW,2,2014,69000,Diesel,141,Manual,11744
349,Peugeot,108,2018,11259,Petrol,71,Automatic,10989
350,Peugeot,208,2014,20739,Petrol,82,Manual,8299
351,Citroen,C4,2016,28390,Petrol,109,Manual,8999
352,Suzuki,Swift,2018,30178,Petrol,111,Manual,10199
353,Audi,A1,2016,52125,Petrol,93,Manual,10799
354,Seat,Ibiza,2015,32550,Petrol,84,Manual,8299
355,Peugeot,208,2018,21000,Petrol,82,Manual,11489
356,Audi,A1,2021,5448,Petrol,108,Automatic,27999
357,Toyota,Yaris,2018,38955,Hybrid,99,Automatic,14399
358,Peugeot,2008,2017,23865,Petrol,82,Manual,13299
359,Seat,Leon,2017,48134,Petrol,123,Manual,13999
360,Toyota,AYGO,2020,9511,Petrol,69,Manual,8999
361,Ford,Kuga,2019,14382,Petrol,176,Automatic,22999
362,Kia,Sportage,2018,21432,Petrol,130,Manual,17599
363,Seat,Ateca,2019,9114,Petrol,114,Manual,18999
364,Vauxhall,Corsa,2015,70000,Petrol,99,Manual,6995
365,BMW,2,2014,78132,Petrol,322,Automatic,17495
366,Vauxhall,Mokka,2019,14344,Petrol,138,Manual,15681
367,Vauxhall,Mokka,2018,22695,Petrol,138,Manual,14367
368,Vauxhall,Mokka,2019,10528,Petrol,138,Automatic,19999
369,BMW,3,2017,31700,Petrol,444,Automatic,41490
370,Honda,Civic,2012,30000,Petrol,98,Manual,5999
371,Audi,A1,2018,3426,Petrol,123,Manual,16999
372,Mercedes-Benz,G-Class,2019,23000,Petrol,577,Automatic,159995
373,Vauxhall,Corsa,2010,83471,Petrol,98,Manual,3000
374,MINI,Mini,2010,110694,Petrol,75,Manual,2250
375,Audi,A1,2018,17291,Petrol,123,Manual,16599
376,MG,ZS,2020,10567,Petrol,110,Automatic,18490
377,Jaguar,F-PACE,2019,26000,Petrol,296,Automatic,46995
378,Audi,A1,2015,29000,Petrol,138,Automatic,14999
379,BMW,1,2018,37500,Petrol,335,Automatic,24299
380,Ford,Fiesta,2016,38677,Petrol,80,Manual,7499
381,Volkswagen,Golf,2018,7000,Petrol,121,Manual,16999
382,Volkswagen,Polo,2018,43000,Petrol,113,Manual,14599
383,Nissan,Juke,2018,21000,Petrol,115,Manual,13199
384,BMW,1,2017,41000,Petrol,134,Manual,15599
385,Vauxhall,Astra,2016,46600,Petrol,148,Manual,9499
386,Kia,Sportage,2018,23000,Petrol,130,Manual,17999
387,Toyota,AYGO,2018,11000,Petrol,69,Manual,8799
388,Citroen,C3,2018,40000,Petrol,67,Manual,9399
389,Ford,Grand,2017,33000,Petrol,123,Manual,14499
390,MINI,Mini,2016,62000,Petrol,189,Automatic,13599
391,Honda,Civic,2015,16162,Petrol,140,Automatic,14999
392,Toyota,AYGO,2016,24000,Petrol,69,Manual,6499
393,Mazda,MX-5,2020,1427,Petrol,181,Automatic,30500
394,Mazda,Mazda2,2019,7055,Petrol,113,Manual,15250
395,Ford,Fiesta,2009,54941,Petrol,95,Manual,4000
396,Ford,EcoSport,2020,22976,Petrol,123,Manual,17900
397,Fiat,500,2018,10850,Petrol,68,Manual,9750
398,Suzuki,Grand,2008,89685,Petrol,105,Manual,3289
399,Nissan,Qashqai,2010,81944,Petrol,117,Manual,4489
400,Peugeot,208,2020,19000,Petrol,74,Manual,14750
401,Peugeot,108,2018,18000,Petrol,71,Manual,8490
402,Peugeot,108,2018,34501,Petrol,71,Manual,7490
403,Hyundai,i10,2021,100,Petrol,65,Automatic,14995
404,Hyundai,Tucson,2019,12424,Petrol,174,Automatic,21395
405,Hyundai,Tucson,2019,9378,Petrol,174,Automatic,21695
406,Hyundai,Tucson,2019,14763,Petrol,174,Automatic,21195
407,Hyundai,IONIQ,2019,7727,Hybrid,140,Automatic,21495
408,Hyundai,i10,2021,100,Petrol,65,Manual,13495
409,Renault,Kadjar,2020,5370,Petrol,138,Manual,21195
410,Vauxhall,Combo,2010,81140,Diesel,99,Manual,2790
411,Renault,Captur,2016,36103,Petrol,90,Manual,9495
412,BMW,X3,2011,139220,Diesel,181,Automatic,8250
413,Mitsubishi,L200,2013,85120,Diesel,175,Manual,9950
414,Toyota,Yaris,2012,73000,Petrol,98,Manual,5495
415,Hyundai,i30,2016,62500,Petrol,99,Manual,8495
416,Ford,Focus,2010,42000,Petrol,100,Manual,4699
417,Suzuki,Swift,2012,19750,Petrol,94,Automatic,8495
418,Vauxhall,Corsa,2016,6780,Petrol,89,Automatic,11795
419,Volkswagen,Golf,2016,74660,Petrol,218,Automatic,17995
420,Kia,Sportage,2015,41283,Petrol,133,Manual,11970
421,Vauxhall,Corsa,2015,45920,Petrol,69,Manual,6595
422,Audi,TT,2014,62650,Petrol,158,Automatic,13295
423,MINI,Mini,2015,72964,Petrol,134,Manual,7995
424,Vauxhall,ADAM,2013,33666,Petrol,69,Manual,5495
425,Ford,C-MAX,2012,72135,Petrol,103,Manual,4595
426,Audi,TT,2015,74600,Petrol,227,Manual,16995
427,Nissan,Juke,2013,58525,Petrol,115,Manual,6995
428,Ford,Focus,2007,75800,Petrol,123,Manual,2095
429,Nissan,Juke,2011,78135,Petrol,117,Manual,4895
430,Ford,Ka,2009,76241,Petrol,68,Manual,2395
431,Kia,Sportage,2016,36200,Petrol,174,Manual,16995
432,Mercedes-Benz,A-Class,2014,68060,Petrol,211,Automatic,14995
433,Volkswagen,Golf,2011,73384,Petrol,79,Manual,5000
434,BMW,2,2018,32910,Petrol,134,Automatic,18995
435,Porsche,911,2016,14800,Petrol,494,Automatic,159995
436,Peugeot,Partner,2015,44658,Petrol,98,Manual,7495
437,Volkswagen,Beetle,2013,80786,Petrol,103,Automatic,8495
