make,model,year,milage,fuel,horsepower,transmission,price
BMW,1,2016,70718,Petrol,134,Manual,10999
Audi,A1,2011,50210,Petrol,122,Automatic,9250
Vauxhall,Corsa,2021,100,Petrol,74,Manual,17000
Vauxhall,ADAM,2016,39503,Petrol,148,Manual,10000
Vauxhall,GTC,2017,34780,Petrol,138,Manual,11700
Hyundai,Tucson,2017,32000,Petrol,130,Manual,15990
Mitsubishi,Outlander,2018,8642,Hybrid,200,Automatic,27999
Volkswagen,Polo,2016,12392,Petrol,74,Manual,11695
Ford,EcoSport,2019,17808,Petrol,123,Manual,16995
Mercedes-Benz,GLA-Class,2018,17815,Petrol,121,Automatic,24995
Volkswagen,Polo,2015,16520,Petrol,59,Manual,9995
Ford,Fiesta,2021,6053,Petrol,123,Manual,18995
Volkswagen,Scirocco,2017,53400,Petrol,123,Manual,14250
Vauxhall,Corsa,2015,25152,Petrol,89,Manual,8795
MINI,Mini,2014,57914,Petrol,122,Manual,8480
Ford,Fiesta,2018,17627,Petrol,99,Manual,12999
Mazda,Mazda6,2016,21000,Petrol,143,Manual,14200
Ford,Fiesta,2016,23939,Petrol,99,Manual,9999
Vauxhall,GTC,2016,17000,Petrol,138,Manual,11700
MINI,Mini,2016,63597,Petrol,101,Manual,9000
Volkswagen,T-Roc,2018,19000,Petrol,188,Automatic,26000
Ford,Focus,2018,40144,Petrol,247,Manual,19500
Ford,Fiesta,2015,32201,Petrol,80,Manual,8999
Ford,Focus,2017,38075,Petrol,123,Manual,11200
Volkswagen,Golf,2017,44500,Petrol,241,Manual,21700
Suzuki,Alto,2015,17846,Petrol,68,Manual,4500
Ford,Fiesta,2014,22123,Petrol,180,Manual,12299
Mitsubishi,Outlander,2016,57600,Hybrid,200,Automatic,19000
Seat,Ibiza,2015,49000,Petrol,103,Manual,8500
Peugeot,208,2014,61000,Petrol,82,Manual,5100
Jaguar,XE,2016,49000,Petrol,197,Automatic,17200
Ford,EcoSport,2020,4685,Petrol,138,Manual,20499
BMW,2,2015,41000,Petrol,134,Manual,15500
Seat,Ateca,2017,44000,Petrol,114,Manual,15500
Seat,Ibiza,2018,22000,Petrol,94,Manual,14000
Ford,Fiesta,2018,39094,Petrol,99,Manual,13400
Nissan,Qashqai,2016,29744,Petrol,113,Automatic,17000
MINI,Mini,2015,30000,Petrol,184,Automatic,15500
Volkswagen,Golf,2015,53202,Petrol,121,Manual,11500
Hyundai,Tucson,2018,20269,Petrol,130,Manual,16798
BMW,X5,2017,44000,Petrol,567,Automatic,51950
Volkswagen,Golf,2018,58957,Petrol,227,Manual,20500
Vauxhall,Corsa,2015,114067,Petrol,69,Manual,4500
Hyundai,Tucson,2020,13129,Petrol,130,Manual,19750
Renault,Kadjar,2018,14756,Petrol,130,Manual,19500
Hyundai,Tucson,2018,18285,Petrol,174,Manual,20500
Mazda,Mazda6,2016,33411,Petrol,163,Manual,14999
Ford,Fiesta,2018,19148,Petrol,99,Manual,12999
Toyota,Yaris,2017,39134,Petrol,110,Manual,10299
Ford,Focus,2016,40911,Petrol,123,Manual,11499
Audi,Q2,2018,35100,Petrol,114,Manual,18699
Hyundai,i20,2019,22629,Petrol,83,Manual,11799
Peugeot,108,2015,26030,Petrol,68,Manual,6799
Ford,Puma,2021,4644,Petrol,123,Manual,24499
Seat,Ibiza,2015,42000,Petrol,84,Manual,6495
Ford,Focus,2009,26150,Petrol,100,Manual,4350
Vauxhall,Astra,2017,29035,Petrol,148,Manual,12780
Citroen,C3,2018,20948,Petrol,80,Manual,10490
Mazda,MX-5,2018,15484,Petrol,158,Manual,21499
Honda,Civic,2009,87300,Petrol,198,Manual,8995
Nissan,Micra,2007,31455,Petrol,79,Automatic,3600
Vauxhall,Corsa,2018,11630,Petrol,74,Manual,9545
Vauxhall,Corsa,2015,20664,Petrol,89,Manual,8996
Vauxhall,Mokka,2018,46009,Petrol,138,Automatic,13999
Ford,Fiesta,2010,46047,Petrol,95,Automatic,6400
Toyota,Auris,2016,66467,Hybrid,134,Automatic,14395
Vauxhall,Astra,2017,50258,Petrol,99,Manual,9672
Vauxhall,ADAM,2016,41287,Petrol,69,Manual,4800
Vauxhall,Zafira,2010,38943,Petrol,113,Manual,4600
Fiat,Panda,2015,4995,Petrol,69,Manual,40707
Kia,Sportage,2017,43815,Petrol,130,Manual,12999
Honda,CR-V,2013,58449,Petrol,153,Automatic,13995
Kia,Sportage,2020,9190,Petrol,130,Manual,18699
Vauxhall,Astra,2016,36729,Petrol,148,Manual,10839
Toyota,AYGO,2010,11674,Petrol,67,Automatic,6400
Mercedes-Benz,B-Class,2014,80069,Diesel,109,Manual,8395
Mazda,MX-5,2011,87458,Petrol,158,Manual,7998
Kia,Picanto,2019,4329,Petrol,66,Manual,8499
Nissan,Juke,2013,91089,Diesel,110,Manual,5395
Volkswagen,up!,2013,21000,Petrol,74,Manual,6995
PORSCHE,911,2009,51000,Petrol,385,Manual,48995
Volkswagen,T-Roc,2019,20193,Petrol,148,Manual,23999
Jaguar,XE,2018,23189,Petrol,197,Automatic,21990
Volkswagen,Golf,2018,15000,Petrol,121,Manual,17999
Volkswagen,Polo,2019,10364,Petrol,64,Manual,14999
Volkswagen,up!,2012,97595,Petrol,59,Manual,3401
BMW,3,2017,51024,Diesel,188,Automatic,20599
Honda,Civic,2015,25700,Petrol,140,Automatic,12990
Skoda,Fabia,2015,48073,Petrol,59,Manual,6295
Nissan,Juke,2020,6706,Petrol,115,Manual,21999
Vauxhall,Mokka,2016,19634,Petrol,138,Manual,11999
Renault,Captur,2017,44813,Petrol,90,Manual,11199
Seat,Ibiza,2017,42347,Petrol,109,Manual,10399
Ford,Fiesta,2016,25041,Petrol,99,Manual,9199
Ford,Fiesta,2016,25041,Petrol,99,Manual,9199
Mercedes-Benz,A-Class,2020,10284,Petrol,134,Manual,28999
Nissan,Micra,2017,35368,Petrol,88,Manual,9999
Kia,Picanto,2018,18580,Petrol,66,Manual,8799
Skoda,Octavia,2014,21987,Petrol,103,Automatic,11299
Jaguar,E-PACE,2018,23545,Petrol,246,Automatic,31999
Vauxhall,Astra,2014,38547,Petrol,140,Manual,6999
BMW,1,2015,36420,Petrol,322,Manual,18495
Fiat,500,2017,66000,Petrol,69,Manual,6599
Vauxhall,Mokka,2017,24720,Petrol,128,Manual,13299
Vauxhall,Corsa,2014,66351,Petrol,98,Manual,4595
Mazda,MX-5,2009,98000,Petrol,125,Manual,2995
Audi,A6,2008,197700,Diesel,180,Automatic,1195
Ford,Fiesta,2012,95972,Petrol,59,Manual,3450
Kia,Niro,2017,17627,Hybrid,140,Automatic,20995
Peugeot,208,2018,35607,Petrol,82,Manual,10776
Vauxhall,Corsa,2019,23807,Petrol,74,Manual,10239
Peugeot,2008,2015,29000,Diesel,100,Manual,9495
Renault,Grand,2007,134634,Diesel,150,Manual,1995
Volkswagen,Golf,2019,16208,Petrol,296,Automatic,30999
Nissan,Note,2006,79970,Petrol,109,Automatic,2995
Volvo,V70,2009,135330,Diesel,136,Manual,4295
Toyota,RAV4,2008,84730,Diesel,134,Manual,4850
MG,ZS,2018,17949,Petrol,105,Manual,13999
Toyota,AYGO,2016,56700,Petrol,69,Manual,6795
Kia,Rio,2015,86955,Petrol,83,Manual,4695
Hyundai,i20,2010,96730,Petrol,99,Manual,2495
Vauxhall,Mokka,2013,35005,Petrol,113,Manual,7990
Honda,Jazz,2019,730,Petrol,101,Manual,16300
Peugeot,206,2005,58827,Petrol,134,Manual,1800
Toyota,Celica,2004,81213,Petrol,141,Manual,3495
Honda,Jazz,2021,1378,Hybrid,107,Automatic,20500
Nissan,Qashqai,2016,33527,Petrol,113,Manual,14999
MINI,Mini,2018,12974,Petrol,134,Manual,18499
Audi,A1,2014,43590,Petrol,122,Manual,11299
Hyundai,i10,2015,50000,Petrol,86,Manual,5799
Jeep,Compass,2020,11000,Petrol,138,Manual,19999
Vauxhall,Mokka,2016,22000,Petrol,113,Manual,12799
Nissan,Qashqai,2016,38000,Petrol,113,Manual,13799
Ford,EcoSport,2017,40000,Petrol,110,Manual,9999
Vauxhall,Mokka,2018,17000,Petrol,138,Automatic,15999
Vauxhall,Mokka,2018,13000,Petrol,138,Manual,14999
Volkswagen,Golf,2018,5000,Petrol,128,Automatic,19999
Ford,Fiesta,2018,20303,Petrol,197,Manual,18499
Dacia,Sandero,2019,10200,Petrol,90,Manual,10299
Fiat,500,2014,42000,Petrol,69,Manual,5695
Skoda,Fabia,2018,1868,Petrol,74,Manual,11499
Hyundai,Tucson,2018,51221,Petrol,130,Manual,14899
Renault,Clio,2013,71000,Petrol,90,Manual,5495
Mercedes-Benz,GLA-Class,2018,41900,Petrol,154,Manual,21499
Hyundai,IONIQ,2018,8753,Hybrid,140,Automatic,17999
Seat,Ibiza,2013,103000,Petrol,84,Manual,3895
Honda,CR-V,2005,103000,Petrol,148,Manual,2999
Volkswagen,Polo,2009,116000,Petrol,80,Manual,2999
MINI,Mini,2012,59000,Petrol,97,Manual,5995
Vauxhall,Crossland,2019,4833,Petrol,82,Manual,15495
Volkswagen,Polo,2009,68500,Petrol,60,Manual,3495
Toyota,C-HR,2018,14194,Petrol,114,Manual,20995
Vauxhall,Corsa,2013,40000,Petrol,64,Manual,4295
Fiat,Panda,2012,60945,Petrol,85,Manual,3495
Seat,Ibiza,2010,8500,Petrol,104,Manual,2495
Nissan,Qashqai,2019,13300,Petrol,140,Manual,19567
BMW,Z4,2004,72000,Petrol,228,Manual,4995
BMW,Z4,2003,72700,Petrol,189,Manual,4495
Renault,Clio,2013,90537,Petrol,75,Manual,4990
Ford,Fiesta,2018,27499,Petrol,99,Manual,12750
MINI,Mini,2009,57000,Petrol,94,Manual,2000
Ford,EcoSport,2018,23856,Petrol,99,Manual,15000
BMW,3,2018,23488,Petrol,181,Manual,20500
Kia,ceed,2012,115800,Diesel,126,Manual,3495
Ford,Fiesta,2009,63154,Petrol,95,Automatic,4895
Ford,Focus,2016,55000,Petrol,123,Automatic,8890
Seat,Ibiza,2011,75000,Petrol,85,Manual,4195
Volkswagen,Polo,2016,22327,Petrol,89,Automatic,13450
Vauxhall,Mokka,2016,75000,Petrol,138,Manual,7995
Volkswagen,Polo,2011,66000,Petrol,60,Manual,4995
Fiat,Panda,2012,56542,Petrol,69,Manual,3417
Toyota,AYGO,2010,23169,Petrol,67,Manual,3595
Peugeot,207,2010,60000,Petrol,73,Manual,3195
Citroen,DS3,2011,89000,Petrol,120,Manual,3995
Ford,Ka,2011,33565,Petrol,68,Manual,4309
Hyundai,i10,2010,49778,Petrol,65,Manual,3195
Fiat,500,2012,35919,Petrol,69,Manual,3979
Ford,Fiesta,2009,86231,Petrol,80,Manual,3191
Peugeot,207,2011,73076,Petrol,73,Manual,2200
Ford,Focus,2014,50784,Petrol,123,Manual,6995
Toyota,Yaris,2008,36753,Petrol,86,Manual,3695
Nissan,Juke,2010,73000,Petrol,117,Manual,4995
Mazda,Mazda2,2010,74136,Petrol,101,Manual,3395
Peugeot,208,2012,77432,Petrol,82,Manual,3531
Ford,Fiesta,2013,89325,Petrol,123,Manual,5615
Volkswagen,Polo,2014,62000,Petrol,59,Manual,6795
Ford,Ka,2009,85254,Petrol,68,Manual,2391
Ford,Fiesta,2012,87650,Petrol,80,Manual,3995
Toyota,Yaris,2012,61118,Petrol,98,Manual,5191
Citroen,C3,2016,50000,Petrol,80,Manual,5995
Vauxhall,Viva,2017,27675,Petrol,74,Manual,6950
MINI,Mini,2012,56000,Petrol,98,Manual,6499
Nissan,Qashqai,2020,8356,Petrol,158,Automatic,27900
Vauxhall,Mokka,2014,32578,Petrol,113,Manual,9200
BMW,Z4,2010,59000,Petrol,302,Manual,13990
Vauxhall,Corsa,2016,36000,Petrol,202,Manual,10990
Ford,Focus,2010,91700,Petrol,100,Manual,2795
Kia,Venga,2015,79505,Petrol,89,Manual,5595
Audi,A3,2013,82080,Petrol,104,Manual,7995
Ford,Ka,2013,56160,Petrol,68,Manual,3495
Ford,Fiesta,2012,58060,Petrol,80,Manual,4395
Nissan,Qashqai,2013,59235,Petrol,117,Manual,8595
Ford,Ka,2011,81485,Petrol,68,Manual,2895
Fiat,500,2016,48430,Petrol,69,Manual,6595
BMW,3,2014,101763,Petrol,181,Automatic,10295
Ford,Fiesta,2011,88000,Petrol,118,Manual,4195
Kia,Picanto,2015,39500,Petrol,68,Manual,5195
Hyundai,i10,2014,87382,Petrol,65,Manual,3595
Lexus,LS,2009,89672,Petrol,376,Automatic,9995
Mercedes-Benz,SL-Class,2006,94950,Petrol,272,Automatic,8495
Renault,Clio,2012,70750,Petrol,75,Manual,2995
Ford,Ka,2012,70100,Petrol,68,Manual,2995
Ford,Focus,2013,56710,Petrol,247,Manual,12595
Renault,Captur,2019,13829,Petrol,88,Manual,14990
Renault,Clio,2018,28000,Petrol,88,Manual,10295
Land,Rover,2003,27280,Petrol,174,Automatic,3295
Ford,Focus,2009,91150,Petrol,100,Manual,2995
Ford,Fiesta,2016,48000,Petrol,138,Manual,8690
Renault,Grand,2008,100000,Petrol,111,Manual,1785
Citroen,C2,2007,88113,Petrol,121,Manual,1595
Audi,A5,2018,24300,Petrol,148,Automatic,21995
Fiat,500X,2015,43000,Petrol,140,Manual,9970
Hyundai,Tucson,2018,24297,Petrol,174,Automatic,21499
Hyundai,i10,2019,5035,Petrol,65,Manual,9999
BMW,3,2013,29000,Petrol,134,Manual,10795
Hyundai,Tucson,2019,10401,Petrol,174,Automatic,21595
Hyundai,Tucson,2019,14699,Petrol,174,Automatic,21195
Hyundai,Tucson,2019,8348,Petrol,174,Automatic,21795
Ford,Focus,2011,91000,Petrol,103,Manual,5299
Peugeot,107,2012,47000,Petrol,68,Manual,3000
Skoda,Fabia,2018,44569,Petrol,74,Manual,12595
BMW,3,2021,19997,Petrol,154,Automatic,29999
Ford,Fiesta,2019,9877,Petrol,123,Manual,16791
Ford,Focus,2016,37589,Petrol,99,Manual,10295
Ford,Focus,2019,15411,Petrol,125,Manual,21795
Ford,Focus,2019,12455,Petrol,123,Manual,18495
Ford,Fiesta,2018,20405,Petrol,123,Manual,12891
Ford,EcoSport,2019,10835,Petrol,123,Manual,18495
MINI,Mini,2020,5706,Petrol,189,Manual,23999
Nissan,Qashqai,2016,44724,Petrol,113,Manual,12495
Mazda,Mazda2,2015,82720,Petrol,89,Manual,6995
Toyota,AYGO,2014,47650,Petrol,69,Manual,5495
Mitsubishi,Outlander,2013,113100,Diesel,147,Automatic,8995
Audi,TT,2010,70500,Petrol,160,Manual,7495
Peugeot,108,2018,6220,Petrol,71,Manual,8290
Renault,Clio,2013,58350,Petrol,75,Manual,6495
Honda,CR-V,2010,83950,Petrol,148,Manual,6995
Renault,Clio,2014,64350,Diesel,90,Manual,6495
Kia,Picanto,2016,44250,Petrol,65,Manual,6995
Nissan,Qashqai,2021,3477,Petrol,156,Automatic,26999
Vauxhall,Mokka,2017,29000,Petrol,138,Automatic,13944
BMW,2,2014,69000,Diesel,141,Manual,11744
Peugeot,108,2018,11259,Petrol,71,Automatic,10989
Peugeot,208,2014,20739,Petrol,82,Manual,8299
Citroen,C4,2016,28390,Petrol,109,Manual,8999
Suzuki,Swift,2018,30178,Petrol,111,Manual,10199
Audi,A1,2016,52125,Petrol,93,Manual,10799
Seat,Ibiza,2015,32550,Petrol,84,Manual,8299
Peugeot,208,2018,21000,Petrol,82,Manual,11489
Audi,A1,2021,5448,Petrol,108,Automatic,27999
Toyota,Yaris,2018,38955,Hybrid,99,Automatic,14399
Peugeot,2008,2017,23865,Petrol,82,Manual,13299
Seat,Leon,2017,48134,Petrol,123,Manual,13999
Toyota,AYGO,2020,9511,Petrol,69,Manual,8999
Ford,Kuga,2019,14382,Petrol,176,Automatic,22999
Kia,Sportage,2018,21432,Petrol,130,Manual,17599
Seat,Ateca,2019,9114,Petrol,114,Manual,18999
Vauxhall,Corsa,2015,70000,Petrol,99,Manual,6995
BMW,2,2014,78132,Petrol,322,Automatic,17495
Vauxhall,Mokka,2019,14344,Petrol,138,Manual,15681
Vauxhall,Mokka,2018,22695,Petrol,138,Manual,14367
Vauxhall,Mokka,2019,10528,Petrol,138,Automatic,19999
BMW,3,2017,31700,Petrol,444,Automatic,41490
Honda,Civic,2012,30000,Petrol,98,Manual,5999
Audi,A1,2018,3426,Petrol,123,Manual,16999
Mercedes-Benz,G-Class,2019,23000,Petrol,577,Automatic,159995
Vauxhall,Corsa,2010,83471,Petrol,98,Manual,3000
MINI,Mini,2010,110694,Petrol,75,Manual,2250
Audi,A1,2018,17291,Petrol,123,Manual,16599
MG,ZS,2020,10567,Petrol,110,Automatic,18490
Jaguar,F-PACE,2019,26000,Petrol,296,Automatic,46995
Audi,A1,2015,29000,Petrol,138,Automatic,14999
BMW,1,2018,37500,Petrol,335,Automatic,24299
Ford,Fiesta,2016,38677,Petrol,80,Manual,7499
Volkswagen,Golf,2018,7000,Petrol,121,Manual,16999
Volkswagen,Polo,2018,43000,Petrol,113,Manual,14599
Nissan,Juke,2018,21000,Petrol,115,Manual,13199
BMW,1,2017,41000,Petrol,134,Manual,15599
Vauxhall,Astra,2016,46600,Petrol,148,Manual,9499
Kia,Sportage,2018,23000,Petrol,130,Manual,17999
Toyota,AYGO,2018,11000,Petrol,69,Manual,8799
Citroen,C3,2018,40000,Petrol,67,Manual,9399
Ford,Grand,2017,33000,Petrol,123,Manual,14499
MINI,Mini,2016,62000,Petrol,189,Automatic,13599
Honda,Civic,2015,16162,Petrol,140,Automatic,14999
Toyota,AYGO,2016,24000,Petrol,69,Manual,6499
Mazda,MX-5,2020,1427,Petrol,181,Automatic,30500
Mazda,Mazda2,2019,7055,Petrol,113,Manual,15250
Ford,Fiesta,2009,54941,Petrol,95,Manual,4000
Ford,EcoSport,2020,22976,Petrol,123,Manual,17900
Fiat,500,2018,10850,Petrol,68,Manual,9750
Suzuki,Grand,2008,89685,Petrol,105,Manual,3289
Nissan,Qashqai,2010,81944,Petrol,117,Manual,4489
Peugeot,208,2020,19000,Petrol,74,Manual,14750
Peugeot,108,2018,18000,Petrol,71,Manual,8490
Peugeot,108,2018,34501,Petrol,71,Manual,7490
Hyundai,i10,2021,100,Petrol,65,Automatic,14995
Hyundai,Tucson,2019,12424,Petrol,174,Automatic,21395
Hyundai,Tucson,2019,9378,Petrol,174,Automatic,21695
Hyundai,Tucson,2019,14763,Petrol,174,Automatic,21195
Hyundai,IONIQ,2019,7727,Hybrid,140,Automatic,21495
Hyundai,i10,2021,100,Petrol,65,Manual,13495
Renault,Kadjar,2020,5370,Petrol,138,Manual,21195
Vauxhall,Combo,2010,81140,Diesel,99,Manual,2790
Renault,Captur,2016,36103,Petrol,90,Manual,9495
BMW,X3,2011,139220,Diesel,181,Automatic,8250
Mitsubishi,L200,2013,85120,Diesel,175,Manual,9950
Toyota,Yaris,2012,73000,Petrol,98,Manual,5495
Hyundai,i30,2016,62500,Petrol,99,Manual,8495
Ford,Focus,2010,42000,Petrol,100,Manual,4699
Suzuki,Swift,2012,19750,Petrol,94,Automatic,8495
Vauxhall,Corsa,2016,6780,Petrol,89,Automatic,11795
Volkswagen,Golf,2016,74660,Petrol,218,Automatic,17995
Kia,Sportage,2015,41283,Petrol,133,Manual,11970
Vauxhall,Corsa,2015,45920,Petrol,69,Manual,6595
Audi,TT,2014,62650,Petrol,158,Automatic,13295
MINI,Mini,2015,72964,Petrol,134,Manual,7995
Vauxhall,ADAM,2013,33666,Petrol,69,Manual,5495
Ford,C-MAX,2012,72135,Petrol,103,Manual,4595
Audi,TT,2015,74600,Petrol,227,Manual,16995
Nissan,Juke,2013,58525,Petrol,115,Manual,6995
Ford,Focus,2007,75800,Petrol,123,Manual,2095
Nissan,Juke,2011,78135,Petrol,117,Manual,4895
Ford,Ka,2009,76241,Petrol,68,Manual,2395
Kia,Sportage,2016,36200,Petrol,174,Manual,16995
Mercedes-Benz,A-Class,2014,68060,Petrol,211,Automatic,14995
Volkswagen,Golf,2011,73384,Petrol,79,Manual,5000
BMW,2,2018,32910,Petrol,134,Automatic,18995
Porsche,911,2016,14800,Petrol,494,Automatic,159995
Peugeot,Partner,2015,44658,Petrol,98,Manual,7495
Volkswagen,Beetle,2013,80786,Petrol,103,Automatic,8495
Vauxhall,ADAM,2013,60500,Petrol,69,Manual,4695
Mercedes-Benz,AMG,2017,8400,Petrol,577,Automatic,119950
BMW,6,2004,60085,Petrol,328,Automatic,7995
Mitsubishi,Outlander,2014,76924,Hybrid,204,Automatic,13995
Kia,Sportage,2017,21467,Petrol,130,Manual,15250
Renault,Captur,2015,32292,Petrol,90,Manual,9995
BMW,1,2018,27529,Petrol,134,Automatic,17000
Peugeot,107,2013,52614,Petrol,68,Manual,4250
Audi,Q2,2018,66325,Petrol,114,Manual,17500
Nissan,Micra,2018,23717,Petrol,70,Manual,9599
Ford,C-MAX,2018,26098,Petrol,123,Manual,15499
DS,DS,2019,17169,Petrol,153,Automatic,19999
Renault,Clio,2016,41000,Petrol,72,Manual,5860
Ford,Focus,2008,75000,Petrol,100,Automatic,3999
Ford,Fiesta,2016,79000,Petrol,138,Manual,5995
Ford,Focus,2018,11082,Petrol,123,Manual,18491
Abarth,595,2017,26500,Petrol,162,Manual,12995
Renault,Clio,2017,51999,Petrol,88,Manual,9420
Vauxhall,Astra,2011,90000,Petrol,113,Manual,3380
Ford,Ka,2010,70000,Petrol,68,Manual,3895
Volkswagen,Golf,2015,53093,Petrol,121,Manual,10990
Vauxhall,Corsa,2008,40000,Petrol,79,Manual,2995
Nissan,Juke,2013,50000,Petrol,117,Manual,7295
Volkswagen,Polo,2013,41000,Petrol,83,Manual,7995
Volvo,C70,2005,59040,Petrol,161,Automatic,5950
Toyota,Prius,2018,17793,Hybrid,120,Automatic,22495
Citroen,C1,2015,22303,Petrol,68,Manual,5995
Nissan,Juke,2019,7409,Petrol,115,Manual,23295
Ford,Puma,2020,4599,Petrol,123,Manual,26699
Ford,B-Max,2017,10379,Petrol,123,Manual,14599
